Lot,LotID,HorseID,HorseUUID,Name,horseGender,yob,cob,colour,SireID,SireUUID,sireName,Stallion Match Rating,lotPedigreeStrength,lotSpeedPct,lotClassicPct,lotStaminaPct,lotDI,lotCI,vendorName,vendorLotsOffered_5y,vendorLotsSold_5y,vendorStakesWinners_5y,vendorWinners_5y,damUrl,stallionName,stallionFarm,stallionFee,matingMatchRating,matingPedigreeStrength,matingSpeedPct,matingClassicPct,matingStaminaPct,matingDI,matingCI,stallionSearchUrl
401,832397,1433857,5BBAAD9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Karavas,Mare,2021,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,75.1,51.61,16.13,32.26,1.48,0.516,Vinery Stud,614,515,15,209,https://stallionmatch.com/race-horse/Karavas/5BBAAD9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,65.4,75,8.33,16.67,3.8,1.042,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=5BBAAD9F-6BCC-EE11-8DC2-E8D8D1C4DF34
402,832398,1070457,F3F4889F-6BCC-EE11-8DC2-E8D8D1C4DF34,Kealoha,Mare,2020,AUS,Chestnut,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,84.5,65.63,25,9.38,3.571,0.75,Arrowfield Stud,1000,895,37,376,https://stallionmatch.com/race-horse/Kealoha/F3F4889F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,66.1,79.17,16.67,4.17,7,1.125,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=F3F4889F-6BCC-EE11-8DC2-E8D8D1C4DF34
403,832399,1632936,DC9A69CC-CFE5-EF11-ACD3-02C4308ABA4F,Kerber,Filly,2022,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,PERFECT MATCH,93.2,80,8,12,5.25,1.32,Chris Waller Racing,0,0,0,0,https://stallionmatch.com/race-horse/Kerber/DC9A69CC-CFE5-EF11-ACD3-02C4308ABA4F,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,54.7,90.91,4.55,4.55,13.667,1.5,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=DC9A69CC-CFE5-EF11-ACD3-02C4308ABA4F
404,832400,1726223,44FF75B6-97C9-F011-AD1E-022F89C8EE41,Killer Heels,Filly,2022,AUS,Bay Brown,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,85.8,45.83,12.5,41.67,1.087,0.167,Baystone Farm,0,0,0,0,https://stallionmatch.com/race-horse/Killer%20Heels/44FF75B6-97C9-F011-AD1E-022F89C8EE41,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,35.3,76.19,4.76,19.05,3.667,0.952,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=44FF75B6-97C9-F011-AD1E-022F89C8EE41
405,832401,1253688,80B39C9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Kirribilli,Mare,2021,AUS,Bay Brown,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,PERFECT MATCH,85.3,53.33,43.33,3.33,3,0.767,Newington Farm Premium Consignment,0,0,0,0,https://stallionmatch.com/race-horse/Kirribilli/80B39C9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,41.5,75,25,0,7,1.167,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=80B39C9F-6BCC-EE11-8DC2-E8D8D1C4DF34
406,832402,1793682,F1E3A775-62FE-F011-AD1E-022F89C8EE41,La Gitana,Filly,2023,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,65,30,55,15,1.353,0.45,Newington Farm Premium Consignment,0,0,0,0,https://stallionmatch.com/race-horse/La%20Gitana/F1E3A775-62FE-F011-AD1E-022F89C8EE41,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,75,68.42,26.32,5.26,4.429,1.105,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=F1E3A775-62FE-F011-AD1E-022F89C8EE41
407,832403,1253266,DCB19C9F-6BCC-EE11-8DC2-E8D8D1C4DF34,La Vie En,Mare,2021,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,82.3,57.69,38.46,3.85,3.333,0.808,Baystone Farm,0,0,0,0,https://stallionmatch.com/race-horse/La%20Vie%20En/DCB19C9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,36.4,77.27,22.73,0,7.8,1.227,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=DCB19C9F-6BCC-EE11-8DC2-E8D8D1C4DF34
408,832404,1129142,CA7A8F9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Legarto,Mare,2019,NZL,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,36.8,76,24,0,7.333,0.88,Attunga Stud,146,135,2,54,https://stallionmatch.com/race-horse/Legarto/CA7A8F9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,67.7,86.96,13.04,0,14.333,1.217,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=CA7A8F9F-6BCC-EE11-8DC2-E8D8D1C4DF34
409,832405,1592938,F2B81C62-566B-EF11-ACD3-02C4308ABA4F,Leica Glove,Mare,2021,NZL,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,NORMAL MATCH,83.5,32,16,52,0.667,0.08,Newington Farm Premium Consignment,0,0,0,0,https://stallionmatch.com/race-horse/Leica%20Glove/F2B81C62-566B-EF11-ACD3-02C4308ABA4F,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,36.4,61.9,9.52,28.57,2,0.762,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=F2B81C62-566B-EF11-ACD3-02C4308ABA4F
410,832406,1254228,9BB59C9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Lexy Rose,Mare,2021,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,72.3,32.14,64.29,3.57,1.8,0.536,Ciaron Maher Racing,0,0,0,0,https://stallionmatch.com/race-horse/Lexy%20Rose/9BB59C9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,38.2,62.5,37.5,0,4.333,1.042,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=9BB59C9F-6BCC-EE11-8DC2-E8D8D1C4DF34
411,832407,1345162,F0C7A49F-6BCC-EE11-8DC2-E8D8D1C4DF34,Lilac,Mare,2021,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,PERFECT MATCH,91.3,45.83,16.67,37.5,1.182,0,Yarraman Park Stud,483,461,12,204,https://stallionmatch.com/race-horse/Lilac/F0C7A49F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,65.4,71.43,9.52,19.05,3.2,0.762,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=F0C7A49F-6BCC-EE11-8DC2-E8D8D1C4DF34
412,832408,1446087,7DBEAF9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Liquor,Mare,2019,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,PERFECT MATCH,43.5,86.21,3.45,10.34,7.286,1.517,Eureka Stud,457,398,9,163,https://stallionmatch.com/race-horse/Liquor/7DBEAF9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,58.1,91.67,4.17,4.17,15,1.583,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=7DBEAF9F-6BCC-EE11-8DC2-E8D8D1C4DF34
413,832409,1688408,D62708F9-F19C-F011-AD1E-022F89C8EE41,Lucci,Filly,2022,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,64.3,44.83,51.72,3.45,2.412,0.862,Newington Farm Premium Consignment,0,0,0,0,https://stallionmatch.com/race-horse/Lucci/D62708F9-F19C-F011-AD1E-022F89C8EE41,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,73.2,70.83,29.17,0,5.857,1.25,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=D62708F9-F19C-F011-AD1E-022F89C8EE41
